date,day,stage,GDD,daily_GDD,LAI,dry_matter_total,dry_matter_leaf,dry_matter_stem,dry_matter_fruit,dry_matter_root,fruit_set_rate,soil_EC,soil_water_content,water_uptake,daily_K_uptake,accumulated_K,gray_mold_risk,whitefly_population,alerts
2025-11-01,62,flowering,495.1949256684845,8.053619407919408,1.9656639571638417,49.667959494121554,18.04030211364823,13.073506164236079,7.307526736001552,11.246624480235688,0.6345716044949309,3.5,1.0,1.1468224152739468,0.16363636363636364,8.573532461347865,6.647054061116359,6.131494784103514e-23,[]
2025-11-02,63,flowering,503.017987694294,7.823062025809501,1.9911488914367432,51.29008471073675,18.608045939463548,13.479037468389878,7.6319517793245915,11.571049523558727,0.6351298960736371,3.5,1.0,0.9946397202851138,0.16363636363636364,8.737168824984229,7.889784346518471,1.7559078048839574e-23,[]
2025-11-03,64,flowering,511.9516391229902,8.933651428696162,2.0211013336126795,57.10837521306548,20.644447615278605,14.933610093972062,8.795609879790339,12.734707624024475,0.7281349115087159,3.5,1.0,1.1703627698029158,0.16363636363636364,8.900805188620593,7.828597193319325,5.0284838001426986e-24,[]
2025-11-04,65,flowering,522.33964546765,10.38800634465991,2.0569641074052383,58.48408838316509,21.12594722481347,15.277538386496964,9.07075251381026,13.009850258044397,0.6873139990716853,3.5,1.0,1.250634177302385,0.16363636363636364,9.064441552256957,8.16339113895725,4.8001095232082545e-24,[]
2025-11-05,66,flowering,533.8449355862209,11.505290118570858,2.097810546186311,62.97167960335683,22.696604151880578,16.3994361915449,9.96827075784861,13.907368502082745,0.5513703493751592,3.5,1.0,1.275468812081277,0.16363636363636364,9.228077915893321,8.391497392909823,4.582107122258347e-24,[]
2025-11-06,67,flowering,544.469110895861,10.624175309640142,2.1363902945871556,66.60061308390391,23.966730870072055,17.30666956168167,10.694057453958024,14.63315519819216,0.6342070475138794,3.5,1.0,1.183882686352924,0.16363636363636364,9.391714279529685,9.233995493535922,4.374005546818804e-24,[]
2025-11-07,68,flowering,555.6941876908661,11.225076795005066,2.1778272299638513,67.8071304043132,24.389011932215308,17.608298891783992,10.935360918039882,14.874458662274018,0.5890676609629467,3.5,1.0,1.3241189558180215,0.16363636363636364,9.555350643166049,4.6476601543814295,4.175355139705303e-24,[]
2025-11-08,69,flowering,566.1203318331193,10.426144142253134,2.2167231067791615,73.62846631426396,26.426479500698072,19.063632869271682,12.099628100030033,16.03872584426417,0.6859560543558868,3.5,1.0,1.3477676489217303,0.16363636363636364,9.718987006802413,5.25452161691806,3.9857266654229256e-24,[]
2025-11-09,70,flowering,575.434542465313,9.314210632193705,2.2516295316807593,75.09108332289702,26.938395453719647,19.429287121429947,12.392151501756647,16.331249245990783,0.7141065279247207,3.5,1.0,1.1571820509892516,0.16363636363636364,9.882623370438777,6.0758447591188505,3.804710382692043e-24,[]
2025-11-10,71,flowering,585.7195528267376,10.28501036142461,2.290159874434033,76.34366666890416,27.376799624822148,19.742432957931733,12.642668170958077,16.58176591519221,0.6974979716385393,3.5,1.0,1.224026655767983,0.16363636363636364,10.046259734075141,6.088410493517643,3.631915159096492e-24,[]
2025-11-11,72,flowering,597.1048979114457,11.38534508470812,2.3325574758528487,77.76785183896338,27.875264434342874,20.098479250446537,12.92750520496992,16.866602949204054,0.5647366583132581,3.5,1.0,1.116480763051531,0.16363636363636364,10.209896097711505,9.993146089564235,3.466967625940997e-24,[]
2025-11-12,73,flowering,606.7157577550597,9.610859843613985,2.367947064386935,83.28126128299289,29.8049577397532,21.47683161145391,14.030187093775819,17.969284838009955,0.764240174793287,3.5,1.0,1.3084777244859072,0.16363636363636364,10.37353246134787,14.210750399453252,3.309511371491707e-24,[]
2025-11-13,74,flowering,616.3013657463456,9.585607991285928,2.402715415129573,88.05021076745346,31.4740900593144,22.669068982569055,14.983976990667934,18.92307473490207,0.5730281483914036,3.5,1.0,1.4037579389332961,0.16363636363636364,10.537168824984233,9.090282236806052,3.1592061708566185e-24,[]
2025-11-14,75,flowering,623.1494214281842,6.848055681838551,2.4271509743701594,91.71716867869277,32.75752532824816,23.585808460378882,15.717368572915795,19.65646631714993,0.6292926165577337,3.5,1.0,1.2005936699171185,0.16363636363636364,10.700805188620597,9.200480912100275,9.04718175252556e-25,[]
2025-11-15,76,flowering,631.9437801508783,8.794358722694172,2.457950160995242,96.82444638122077,34.545072524132955,24.862627886010884,16.738824113421394,20.67792185765553,0.744750449134347,3.5,1.0,1.2416981733541281,0.16363636363636364,10.864441552256961,6.374833948872826,2.590888129375787e-25,[]
2025-11-16,77,flowering,639.1212516295412,7.177471478662889,2.4825412501756032,102.8705184598907,36.66119775166744,26.37414590567837,17.948038529155383,21.88713627338952,0.5208739910989256,3.5,1.0,1.2966102680751324,0.16363636363636364,11.028077915893325,8.267108915703053,7.419660047247847e-26,[]
2025-11-17,78,flowering,646.006606399473,6.885354769931727,2.505623636058572,105.04161866346168,37.42108282291728,26.91692095657111,18.382258569869578,22.321356314103713,0.5524064259648342,3.5,1.0,0.8625047288507325,0.16363636363636364,11.19171427952969,8.868583277129098,2.1248063392837126e-26,[]
2025-11-18,79,flowering,652.6596006574676,6.6529942579947,2.527419018204955,106.54827484700924,37.948412487158926,27.293585002458002,18.68358980657909,22.622687550813225,0.5080039809227587,3.5,1.0,0.7919569640497367,0.16363636363636364,11.355350643166053,13.893725293292562,6.084917571304246e-27,[]
2025-11-19,80,flowering,656.9322553609331,4.272654703465488,2.5411387771846456,108.62999688417541,38.677015200167084,27.814015511749545,19.099934214012322,23.039031958246458,0.5,3.5,1.0,0.7923560015277,0.16363636363636364,11.518987006802417,14.035883630434355,1.742569248077873e-27,[]
2025-11-20,81,flowering,662.8042196725108,5.8719643115777,2.5596245279103647,111.41299616684603,39.651064949101794,28.5097653324172,19.656534070546442,23.59563181478058,0.5,3.5,1.0,0.912294838130122,0.16363636363636364,11.682623370438781,9.801065820491637,4.990285486637787e-28,[]
2025-11-21,82,flowering,668.9524152427566,6.148195570245754,2.5785052926056045,113.77684119141462,40.47841070770081,29.10072658855935,20.129303075460165,24.068400819694304,0.5,3.5,1.0,0.8796926471166485,0.16363636363636364,11.846259734075145,8.7565297985269,1.4290938087893342e-28,[]
2025-11-22,83,flowering,676.0042253102072,7.0518100674505435,2.5995426272363202,114.13421698269727,40.60349223464973,29.190070536380006,20.20077823371669,24.13987597795083,0.5439920691791338,3.5,1.0,0.6996017130308896,0.16363636363636364,12.00989609771151,7.027787210194981,4.092569693234154e-29,[]
2025-11-23,84,flowering,681.6652274082527,5.6610020980455085,2.615939624673842,116.14239661787795,41.30635510696297,29.69211544517518,20.60241416075283,24.54151190498697,0.5,3.5,1.0,0.8174308083641106,0.16363636363636364,12.173532461347873,9.14863035594712,1.1720103040798858e-29,[]
2025-11-24,85,flowering,686.1174659267693,4.4522385185167,2.628522059059522,116.14239661787795,41.30635510696297,29.69211544517518,20.60241416075283,24.54151190498697,0.5,3.5,1.0,0.6945094472442542,0.16363636363636364,12.337168824984238,8.43373913656268,3.356346393172677e-30,[]
2025-11-25,86,flowering,691.1988097767604,5.081343849991084,2.642540662290144,119.25182063867223,42.39465351424097,30.469471450373753,21.224298964911686,25.163396709145825,0.5,3.5,1.0,0.9534640282726417,0.16363636363636364,12.500805188620602,9.52524380836397,9.611742381230293e-31,[]
2025-11-26,87,flowering,698.237197052433,7.038387275672605,2.6613501823988734,122.88910474291743,43.66770295072679,31.378792476435052,21.951755785760724,25.890853529994864,0.5385180739476897,3.5,1.0,1.0718020206087595,0.16363636363636364,12.664441552256966,20.47715326977314,2.752564270215525e-31,[]
2025-11-27,88,flowering,705.2632801672178,7.02608311478484,2.679416618695848,123.71664334297157,43.95734146074574,31.585677126448584,22.11726350577155,26.05636125000569,0.5600769834534355,3.5,1.0,0.944238061916202,0.16363636363636364,12.82807791589333,11.881860208784275,7.882660355590311e-32,[]
2025-11-28,89,flowering,712.1556238553375,6.892343688119746,2.6964472064409173,124.74225390315445,44.316305156809754,31.842079766494308,22.32238561780813,26.26148336204227,0.5771949429971991,3.5,1.0,1.0154139547198118,0.16363636363636364,12.991714279529694,8.774631543286437,2.2573981270464542e-32,[]
2025-11-29,90,flowering,721.8060182921179,9.65039443678046,2.719143546490251,128.38846372018426,45.59247859277018,32.753632220751754,23.05162758121409,26.990725325448228,0.5840102297038401,3.5,1.0,1.1086317189477173,0.16363636363636364,13.155350643166058,5.957199862686546,2.1548758389160297e-32,[]
2025-11-30,91,flowering,730.1856114360869,8.379593143969,2.737772476140977,133.82049051402913,47.49368797061589,34.11163891921298,24.138032939983066,28.077130684217206,0.731201933598483,3.5,1.0,1.3066381558562237,0.16363636363636364,13.318987006802422,6.965113232288208,6.171029149235011e-33,[]
2025-12-01,92,flowering,739.9523532518066,9.766741815719701,2.7582399661259367,140.49928867537633,49.8312673270874,35.78133845954978,25.473792572252506,29.412890316486646,0.7431442200021511,3.5,1.0,1.5891018373560977,0.16363636363636364,13.482623370438786,6.277646947662144,5.89076488352177e-33,[]
2025-12-02,93,flowering,748.9858211352199,9.033467883413271,2.7760035821709446,142.91107141724976,50.6753912867431,36.384284145018135,25.95614912062719,29.89524686486133,0.7228627146995843,3.5,1.0,1.3222314350538105,0.16363636363636364,13.64625973407515,10.350549405710701,1.6869687408899188e-33,[]
2025-12-03,94,flowering,758.5964709179681,9.610649782748162,2.7937061420180704,150.80617766445118,53.4386784732636,38.35806070681849,27.53517037006748,31.47426811430162,0.7492215168564895,3.5,1.0,1.6532238354776512,0.16363636363636364,13.809896097711514,8.536211938819955,1.6103531482532653e-33,[]
2025-12-04,95,flowering,768.1110488482301,9.51457793026206,2.8100584248204488,153.86697666356633,54.509958122953904,39.12326045659728,28.147330169890513,32.08642791412465,0.7811758873941943,3.5,1.0,1.5598792325318773,0.16363636363636364,13.973532461347878,9.80167190408999,1.5372171393769897e-33,[]
2025-12-05,96,flowering,777.6913936470205,9.580344798790373,2.825391051794621,157.3254862914726,55.72043649272109,39.987887863573846,28.839032095471765,32.7781298397059,0.6791993584036924,3.5,1.0,1.525974033415681,0.16363636363636364,14.137168824984242,6.291283516218172,1.4674026850306334e-33,[]
